source_place_id,source_place_name,source_coordinates,nearby_rank,nearby_place_id,nearby_place_name,nearby_coordinates,walking_distance,walking_time,driving_distance,driving_time
VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",1,VNS040,Ganges River Boat Ride (Central Ghats),"25.3076, 83.0104",100 m,1 mins,0.1 km,2 mins
VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",2,VNS041,Sheetla Ghat,"25.307, 83.0102",100 m,1 mins,0.1 km,2 mins
VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",3,VNS042,Ahilyabai Ghat,"25.3068, 83.0101",130 m,1 mins,0.13 km,2 mins
VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",4,VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",170 m,2 mins,0.17 km,2 mins
VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",5,VNS043,Munshi Ghat,"25.3062, 83.0098",230 m,2 mins,0.23 km,2 mins
VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",1,VNS015,Annapurna Temple,"25.3106, 83.0104",100 m,1 mins,0.1 km,2 mins
VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",2,VNS030,Vishwanath Gali,"25.31, 83.009",270 m,3 mins,0.27 km,2 mins
VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",3,VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",350 m,4 mins,0.35 km,2 mins
VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",4,VNS037,Lalita Ghat & Nepali Temple,"25.31, 83.0135",400 m,4 mins,0.4 km,2 mins
VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",5,VNS039,Vishalakshi Gauri Temple,"25.3082, 83.0122",450 m,5 mins,0.45 km,2 mins
VNS003,Manikarnika Ghat,"25.3108, 83.0143",1,VNS046,Manikarnika Kund,"25.311, 83.0142",100 m,1 mins,0.1 km,2 mins
VNS003,Manikarnika Ghat,"25.3108, 83.0143",2,VNS037,Lalita Ghat & Nepali Temple,"25.31, 83.0135",160 m,1 mins,0.16 km,2 mins
VNS003,Manikarnika Ghat,"25.3108, 83.0143",3,VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",200 m,2 mins,0.2 km,2 mins
VNS003,Manikarnika Ghat,"25.3108, 83.0143",4,VNS044,Bhonsale Ghat,"25.313, 83.016",400 m,4 mins,0.4 km,2 mins
VNS003,Manikarnika Ghat,"25.3108, 83.0143",5,VNS039,Vishalakshi Gauri Temple,"25.3082, 83.0122",480 m,5 mins,0.48 km,2 mins
VNS004,Assi Ghat,"25.2882, 82.9996",1,VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",100 m,1 mins,0.1 km,2 mins
VNS004,Assi Ghat,"25.2882, 82.9996",2,VNS035,Tulsi Ghat,"25.2895, 83.001",270 m,3 mins,0.27 km,2 mins
VNS004,Assi Ghat,"25.2882, 82.9996",3,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",360 m,4 mins,0.36 km,2 mins
VNS004,Assi Ghat,"25.2882, 82.9996",4,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",630 m,7 mins,0.63 km,2 mins
VNS004,Assi Ghat,"25.2882, 82.9996",5,VNS023,Chet Singh Ghat,"25.2936, 83.0035",970 m,11 mins,0.97 km,3 mins
VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",1,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",190 m,2 mins,0.19 km,2 mins
VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",2,VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",260 m,3 mins,0.26 km,2 mins
VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",3,VNS028,Japanese Temple Sarnath,"25.383, 83.021",360 m,4 mins,0.36 km,2 mins
VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",4,VNS048,Mrigadayavan Zoo / Deer Park Sarnath,"25.3815, 83.0255",380 m,4 mins,0.38 km,2 mins
VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",5,VNS026,Tibetan Temple Sarnath,"25.38, 83.02",410 m,4 mins,0.41 km,2 mins
VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",1,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",190 m,2 mins,0.19 km,2 mins
